date,code,name,close,near_high_20_pct,range20_pct,range40_pct,compression_ratio,volume_lots,avg20_lots,avg20_turnover,volume_vs_avg20,volume_note,trend_note,stage,action
2026-09-22,1595,川寶,74.6,-0.93,23.04,67.33,0.342,2826,525,36357005,5.38,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3044,健鼎,539.0,-1.1,19.0,66.67,0.285,4201,3013,1517425027,1.39,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2347,聯強,89.9,-1.21,6.93,17.87,0.388,1932,2881,254313476,0.67,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2603,長榮,242.5,-1.22,8.87,29.55,0.3,6322,10929,2562605545,0.58,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2206,三陽工業,63.8,-1.24,4.03,11.54,0.349,247,654,41462537,0.38,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,9925,新保,39.65,-1.25,2.16,3.69,0.586,311,1119,44238736,0.28,當日量縮,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3533,嘉澤,1745.0,-1.41,18.39,37.12,0.495,859,981,1620922033,0.87,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,1609,大亞,38.1,-1.68,5.59,20.87,0.268,3790,3162,119421722,1.2,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,1210,大成,52.1,-1.7,3.11,12.84,0.242,708,1147,59728094,0.62,當日量縮,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,6491,晶碩,404.0,-1.7,14.48,33.01,0.439,232,402,156559548,0.58,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,6206,飛捷,140.5,-1.75,7.92,37.07,0.214,507,886,122619364,0.57,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,6191,精成科,84.3,-1.75,6.58,15.73,0.418,1764,1307,108644026,1.35,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3034,聯詠,557.0,-1.76,9.25,17.57,0.526,3864,3295,1799463501,1.17,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,5536,聖暉*,888.0,-1.88,10.91,40.1,0.272,2294,772,665029512,2.97,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,6944,兆聯實業,722.0,-1.9,8.88,24.62,0.361,325,305,215808196,1.07,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2342,茂矽,42.15,-1.98,16.85,49.24,0.342,5156,2592,104717480,1.99,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2034,允強,21.95,-2.01,11.72,24.79,0.473,7254,1491,31382895,4.87,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2474,可成,210.0,-2.1,6.19,21.19,0.292,1539,2761,573848397,0.56,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3702,大聯大,113.0,-2.16,18.83,34.26,0.55,9841,9904,1046382194,0.99,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2851,中再保,47.4,-2.27,10.86,47.19,0.23,1837,3333,154171668,0.55,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2812,台中銀,19.25,-2.28,5.07,13.32,0.381,9842,17701,340453401,0.56,當日量縮,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2618,長榮航,42.5,-2.3,6.49,13.78,0.471,18311,17766,748775178,1.03,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2317,鴻海,253.0,-2.32,7.25,21.19,0.342,38636,31223,7847096041,1.24,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2610,華航,20.5,-2.38,5.53,15.11,0.366,20155,17663,360477203,1.14,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,6005,群益證,32.4,-2.41,9.21,21.28,0.433,10840,6692,212662495,1.62,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3675,德微,302.0,-2.42,20.9,59.13,0.353,1827,1171,334224915,1.56,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,8299,群聯,2185.0,-2.46,17.89,60.9,0.294,5389,4311,9038782684,1.25,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3014,聯陽,139.0,-2.46,10.89,20.76,0.525,3658,1076,145068467,3.4,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,6015,宏遠證,17.8,-2.47,16.24,28.52,0.569,3727,3340,56643196,1.12,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2539,櫻花建,35.25,-2.49,6.48,29.82,0.217,342,907,31791480,0.38,當日量縮,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2376,技嘉,366.5,-2.53,10.26,28.85,0.356,6797,5485,1957417156,1.24,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,6805,富世達,2500.0,-2.53,40.55,112.86,0.359,1915,1734,3852460316,1.1,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3711,日月光投控,693.0,-2.53,25.84,52.74,0.49,24987,18210,11264532778,1.37,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3545,敦泰,52.0,-2.62,11.95,20.95,0.57,804,731,37012003,1.1,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3088,艾訊,128.0,-2.66,9.58,31.14,0.308,596,653,81710291,0.91,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2069,運錩,25.6,-2.66,28.92,49.86,0.58,4747,1472,34594270,3.23,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2323,中環,10.85,-2.69,7.21,29.05,0.248,6359,4299,46398050,1.48,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,5285,界霖,93.5,-2.71,22.89,49.92,0.459,2089,1632,142152543,1.28,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2436,偉詮電,71.0,-2.74,16.06,46.88,0.343,9048,6333,432976839,1.43,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3413,京鼎,283.0,-2.75,7.18,21.92,0.328,659,713,201107066,0.93,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3563,牧德,711.0,-3.0,14.71,32.79,0.449,1155,437,300499864,2.64,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2441,超豐,127.0,-3.05,19.63,42.39,0.463,8632,4314,513929061,2.0,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,1709,和益,45.95,-3.06,44.51,110.2,0.404,82849,22087,850071756,3.75,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3605,宏致,171.5,-3.11,59.46,128.39,0.463,38677,20323,2826365692,1.9,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2401,凌陽,25.75,-3.2,12.24,23.71,0.516,3058,2146,54256086,1.42,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2395,研華,703.0,-3.3,12.71,37.43,0.34,1756,3018,2067685722,0.58,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
